,Title,Published_date,Views,Likes,Favourites,Comments,Month
0,Solving Easy SQL Interview Questions on Analyst Builder,2024-01-02,604,91,0,7,Jan
1,How I Would Become a Data Analyst if I had to Start Over in 2024 | 6 Month Plan,2023-12-26,79911,3352,0,128,Dec
2,Limit + Aliasing in MySQL | MySQL Beginner Series,2023-12-19,5989,148,0,7,Dec
3,Practice SQL and Python right on your Phone!,2023-12-13,4611,391,0,13,Dec
4,Analyst Builder Full Launch! | The Learning Platform Built for Data Analysts,2023-12-12,11402,545,0,62,Dec
5,Analyst Builder Full Launch LiveStream | 20% Off Code & Giveaways,2023-12-11,11007,472,0,13,Dec
6,Having vs Where in MySQL | Beginner MySQL Series,2023-12-05,5515,205,0,14,Dec
7,#Excel is Frustrating,2023-11-29,5188,343,0,9,Nov
8,7 Mistakes to Avoid in Your Data Analytics Job Search | CareerFoundry Webinar,2023-11-28,12782,413,0,11,Nov
9,Group By + Order By in MySQL | Beginner MySQL Series,2023-11-28,4691,161,0,7,Nov
10,Where Clause in MySQL | Beginner MySQL Series,2023-11-21,6007,178,0,20,Nov
11,Why Data Analysts Hate Using Excel,2023-11-14,20787,835,0,130,Nov
12,Select Statement in MySQL | Beginner MySQL Series,2023-11-07,13376,221,0,17,Nov
13,Installing MySQL and Creating Databases | MySQL for Beginners,2023-10-31,19833,550,0,46,Oct
14,Python Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-10-26,20834,868,0,14,Oct
15,How to Start a Data YouTube Channel,2023-10-24,7499,368,0,45,Oct
16,600k Livestream! | Analyst Builder Giveaways | Songs | My Mom is Joining!,2023-10-20,5068,240,0,11,Oct
17,Consulting and Freelancing in Data Analytics | ATA Show: Episode 25,2023-10-17,12948,493,0,208,Oct
18,Data Analyst vs Business Analyst,2023-10-13,16681,1048,0,8,Oct
19,First Look at Analyst Builder! | The All-in-One Platform for Data Analysts | Beta Launch Coming Soon,2023-10-10,31174,849,0,208,Oct
20,#DataAnalysis #DataAnalyst #DataRealities,2023-10-09,15024,911,0,11,Oct
21,#DataAnalyst #DataCareers #DataAnalysis,2023-10-05,9952,760,0,21,Oct
22,"Data Analyst vs Data Engineer | Responsibilities, Salaries, Skills, Education",2023-10-03,31675,677,0,40,Oct
23,Data Analyst Q/A Livestream | September Livestream | Ask Me Anything!,2023-09-28,8709,281,0,20,Sep
24,#Salary #DataAnalyst #SalaryNegotiation,2023-09-28,10062,691,0,7,Sep
25,AI and Analytics with SAS | SAS Explore Recap,2023-09-26,10298,324,0,21,Sep
26,My Very First Video,2023-09-25,5848,327,0,24,Sep
27,#DataAnalyst #CareerPath,2023-09-22,12507,1011,0,14,Sep
28,"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",2023-09-19,37795,938,0,52,Sep
29,#Excel #DataAnalyst #DataAnalysis,2023-09-18,11357,971,0,18,Sep
30,"Data Analyst vs Business Analyst | Responsibilities, Salaries, Skills, Education",2023-09-12,36930,1369,0,101,Sep
31,#DataAnalysis #DataAnalyst,2023-09-07,14266,1060,0,21,Sep
32,Hard Skills vs Soft Skills in the Data World | Which is More Important?,2023-09-05,11956,591,0,28,Sep
33,"Entry Level vs Mid Level vs Senior Level Data Analyst | Responsibilities, Salary, Education, Skills",2023-08-29,35616,1652,0,112,Aug
34,#DataAnalyst #DataAnalysis #Promotion,2023-08-28,8515,518,0,9,Aug
35,#DataAnalyst #DataAnalysis,2023-08-24,16614,1130,0,51,Aug
36,Regular Expression Use Cases in Python,2023-08-22,5820,147,0,18,Aug
37,Data Analyst Q/A Livestream | August Livestream | Ask Me Anything!,2023-08-18,8369,319,0,25,Aug
38,#DataAnalystSalary #DataAnalysis,2023-08-17,22767,1696,0,34,Aug
39,How to Work with Recruiters on LinkedIn,2023-08-15,22581,1226,0,70,Aug
40,#dataanalysis #dataportfolio,2023-08-14,17081,1544,0,18,Aug
41,#wife #careerchange #dataanalysis,2023-08-11,16339,1549,0,46,Aug
42,LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,2023-08-09,6136,691,0,41,Aug
43,Regular Expression Character Classes in Python,2023-08-08,6465,129,0,13,Aug
44,#Recruiters #dataanalysis #data,2023-08-03,13847,952,0,24,Aug
45,Regular Expression Metacharacters in Python,2023-08-01,4455,121,0,8,Aug
46,How much do Data Analysts make? #dataanalyst #dataanalystsalary,2023-07-31,15982,666,0,41,Jul
47,Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,2023-07-28,34547,2259,0,38,Jul
48,Regular Expression Methods in Python,2023-07-25,5368,180,0,9,Jul
49,What are Hiring Managers Looking For? | Nail the Interview Process!,2023-07-18,18955,869,0,63,Jul
50,Scraping Data from a Real Website | Web Scraping in Python,2023-07-11,164434,3483,0,172,Jul
51,SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-07-06,163969,5248,0,96,Jul
52,Find and Find_All | Web Scraping in Python,2023-07-04,23372,770,0,19,Jul
53,500k Livestream!!,2023-06-28,6234,386,0,24,Jun
54,BeautifulSoup + Requests | Web Scraping in Python,2023-06-27,44572,1055,0,34,Jun
55,Inspecting Web Pages with HTML | Web Scraping in Python,2023-06-20,28472,838,0,27,Jun
56,Best Places to Find Datasets for Your Projects,2023-06-13,42872,1659,0,52,Jun
57,Exploratory Data Analysis in Pandas | Python Pandas Tutorials,2023-06-06,64852,1736,0,101,Jun
58,Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,2023-05-30,10142,365,0,21,May
59,What is Microsoft Fabric? | New Data Analytics Platform!,2023-05-29,150103,3664,0,124,May
